epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,87.3042,0.86544,0.90495,1.19121,0.80404,0.4988,0.54013,0.3105,1.71573,1.93771,1.43222,2.99772e-05,2.99772e-05,2.99772e-05
55,88.9121,0.79952,0.72792,1.20312,0.80404,0.4988,0.54013,0.3105,1.71573,1.93771,1.43222,2.99066e-05,2.99066e-05,2.99066e-05
56,90.4524,0.90067,1.10151,1.32557,0.80404,0.4988,0.54013,0.3105,1.71573,1.93771,1.43222,2.98125e-05,2.98125e-05,2.98125e-05
57,92.0518,0.72332,0.83691,1.12716,0.80934,0.49911,0.53933,0.30999,1.69896,1.97223,1.43234,2.96948e-05,2.96948e-05,2.96948e-05
58,93.5725,0.68972,0.86731,1.08782,0.80934,0.49911,0.53933,0.30999,1.69896,1.97223,1.43234,2.95535e-05,2.95535e-05,2.95535e-05
59,95.1218,0.63371,0.8007,1.07783,0.80934,0.49911,0.53933,0.30999,1.69896,1.97223,1.43234,2.93887e-05,2.93887e-05,2.93887e-05
60,96.7454,0.50071,0.84421,0.95319,0.82646,0.49968,0.52559,0.30462,1.70904,1.99393,1.43002,2.92003e-05,2.92003e-05,2.92003e-05
61,98.3589,0.7597,0.81984,1.24071,0.82646,0.49968,0.52559,0.30462,1.70904,1.99393,1.43002,2.89884e-05,2.89884e-05,2.89884e-05
62,100.067,0.88502,0.98745,1.29682,0.82646,0.49968,0.52559,0.30462,1.70904,1.99393,1.43002,2.87529e-05,2.87529e-05,2.87529e-05
63,101.552,0.90627,0.71837,1.40287,0.84716,0.41534,0.53268,0.31205,1.73196,2.04861,1.44334,2.84938e-05,2.84938e-05,2.84938e-05
64,103.103,0.72475,1.04463,1.13253,0.84716,0.41534,0.53268,0.31205,1.73196,2.04861,1.44334,2.82112e-05,2.82112e-05,2.82112e-05
65,104.809,0.57706,0.68253,1.07639,0.84716,0.41534,0.53268,0.31205,1.73196,2.04861,1.44334,2.7905e-05,2.7905e-05,2.7905e-05
66,106.379,0.9504,1.17251,1.2244,0.84776,0.49851,0.5328,0.30921,1.75495,2.054,1.45465,2.75753e-05,2.75753e-05,2.75753e-05
67,107.962,0.86747,1.23199,1.24863,0.84776,0.49851,0.5328,0.30921,1.75495,2.054,1.45465,2.7222e-05,2.7222e-05,2.7222e-05
68,109.572,1.00095,1.29553,1.48131,0.84776,0.49851,0.5328,0.30921,1.75495,2.054,1.45465,2.68451e-05,2.68451e-05,2.68451e-05
69,111.114,0.63674,0.64839,1.02886,0.8439,0.49832,0.52573,0.29125,1.77992,2.09765,1.4623,2.64447e-05,2.64447e-05,2.64447e-05
70,112.702,1.11223,1.08298,1.48342,0.8439,0.49832,0.52573,0.29125,1.77992,2.09765,1.4623,2.60207e-05,2.60207e-05,2.60207e-05
71,114.265,0.76912,0.63249,1.16651,0.8439,0.49832,0.52573,0.29125,1.77992,2.09765,1.4623,2.55731e-05,2.55731e-05,2.55731e-05
72,115.861,0.6818,1.0161,1.10299,0.85264,0.41377,0.53294,0.29444,1.76348,2.11665,1.46004,2.5102e-05,2.5102e-05,2.5102e-05
73,117.313,0.6027,0.65873,0.96007,0.85264,0.41377,0.53294,0.29444,1.76348,2.11665,1.46004,2.46073e-05,2.46073e-05,2.46073e-05
74,118.82,0.7605,0.882,1.23557,0.85264,0.41377,0.53294,0.29444,1.76348,2.11665,1.46004,2.40891e-05,2.40891e-05,2.40891e-05
75,120.465,0.85408,0.95396,1.37766,0.85178,0.41326,0.5327,0.30043,1.82828,2.11767,1.48393,2.35472e-05,2.35472e-05,2.35472e-05
